user_id,tickets
220427859229933568,55
443437059793879051,55
240899039749603328,55
969072183114625026,55
430454367003475978,55
874303613684580392,53
398604838872809472,52
1328004699672154194,50
1322905749139226656,50
355169964027805698,50
718586817204715690,50
963533131854532638,50
793099607222648852,50
664885896688173068,50
700994678228779028,50
660204032362545152,50
514413698761359400,50
987955038804639744,48
702140318115692634,47
1152124518345756744,47
749225745460625409,47
287705818462289922,47
1282679887580102799,46
1196537397920415846,46
516969515486019604,45
599081631264931900,44
776751679000412192,43
1133914166772649984,43
648229959973994506,43
316114265645776896,42
1033786928279081061,41
715484789485994064,41
840077393683021824,39
424503695674441728,38
808333750626811965,38
1008544819733340160,36
1340578790690132061,35
374979463789805570,34
1327592356542681109,31
1250644488649441291,31
376343175863992320,30
404421544979464192,30
1156012904869527602,27
795304848181821481,26
757019298026881175,26
913823853787119639,24
409816028697198612,23
507632388977983489,19
578157991342243840,19
573235518775623711,18
954129064577339453,18
443528620531515412,18
935098241089929216,13
1011941542287650856,12
290989978996047874,11
605235104599769098,11
498062803974881282,9
863037754164903946,8
428593672993636353,7
557274970791870476,6
86972918415781888,6
1068890154795806720,6
1389312636570828802,5
799819969503428659,4
203405042722668544,4
1160071011513946172,4
783068480190414868,3
1379999125805994077,3
978586163147337728,3
756594358127427685,3
338436753771724810,2
1210707594839195689,2
526526146947317800,2
774352602678558790,2
368250028051136513,0
694700338288132126,0
591350020284874762,0
1243211103375196201,0
781993169104666624,0
712392530750341150,0
181349837994852352,0
965636227179102219,0
360602074054131714,0
803941616682270761,0
174094681787858944,0
399914585613795329,0
713227411927335012,0
708737486016348331,0
539972799452676116,0
678192643624140831,0
704336348412117063,0
1128974426076106762,0
719984711367262235,0
312019945913319424,0
336501305273090049,0
834326999489052703,0
684817848719245321,0
473874648061313036,0
336806742610411522,0
607199947279826966,0
1018266136967663636,0
437618149505105920,0
1090488237308514445,0
1058447497418248244,0
1440021025843839026,0
687996259600171059,0
730656451210641489,0
709819310624735354,0
757913364709244999,0
447940483193372692,0
815382686717444106,0
456039278443495428,0
330607161744949269,0
709859278751793283,0
301335690166403083,0
738177622709764117,0
1390384639868141628,0
386747402138288128,0
695833188529995797,0
1279518197372031042,0
835273591082975293,0
930613622621749309,0
703066136824119316,0
765583136271761418,0
299995388729884672,0
1224592570198396971,0
1432778729142096039,0
653560842683416586,0
1116727461145759774,0
959522086299271168,0
1135296026811572336,0
475657074156634113,0
472054381672529931,0
1430366013572255825,0
1314616672941772884,0
854262244748427266,0
1182040906510127225,0
976108776614686730,0
913576337426489405,0
1444376383521423614,0
1327982588098510852,0
848745573447499867,0
1022070344997154857,0
1249498913841479735,0
1016391483546411129,0
932165676322418689,0
813489176250679296,0
951408877411377183,0
979436066840911902,0
374717033855582211,0
324879796612104192,0
1226022497585991781,0
239399607732404224,0
535446235415576576,0
1325021099590946877,0
868514487983030272,0
827713709908164608,0
828056900196499517,0
300463822991392769,0
1218778118630670376,0
572213360196583425,0
932610009790025728,0
930879531122847774,0
600012346617757696,0
736552318274764863,0
206914340551393290,0
398518029027377163,0
1399450179807084616,0
1071451433746042900,0
769617316962238506,0
732301008126083149,0
990363988422447154,0
417982845206921216,0
587852841528459285,0
1399357666504999005,0
1104035315208945705,0
540653607788347395,0
1077490409808347197,0
760864719191539823,0
683770363817099284,0
662327045749211138,0
